,Title,Genre,Director,Actors,Plot
66,Adventures in Babysitting,"Adventure, Comedy, Crime            ",Chris Columbus,"['Elisabeth Shue', 'Maia Brewton', 'Keith Coogan', 'Anthony Rapp']",A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.
67,The Lovebirds,"Action, Comedy, Crime            ",Michael Showalter,"['Issa Rae', 'Kumail Nanjiani', 'Paul Sparks', 'Anna Camp']",A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.
68,Mamma Mia!,"Comedy, Musical, Romance            ",Phyllida Lloyd,"['Meryl Streep', 'Pierce Brosnan', 'Amanda Seyfried', 'Stellan Skarsgård']",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.
69,The Fault in Our Stars,"Drama, Romance            ",Josh Boone,"['Shailene Woodley', 'Ansel Elgort', 'Nat Wolff', 'Laura Dern']",Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
70,West Side Story,"Crime, Drama, Musical            ",Jerome Robbins,"['Robert Wise', 'Natalie Wood', 'George Chakiris', 'Richard Beymer', 'Russ Tamblyn']","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
71,Love Actually,"Comedy, Drama, Romance            ",Richard Curtis,"['Hugh Grant', 'Martine McCutcheon', 'Liam Neeson', 'Laura Linney']","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
72,La vita è bella,"Comedy, Drama, Romance            ",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
73,Kimi no na wa.,"Animation, Drama, Fantasy            ",Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki']","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
74,Shirley Valentine,"Comedy, Drama, Romance            ",Lewis Gilbert,"['Pauline Collins', 'Tom Conti', 'Julia McKenzie', 'Alison Steadman']","Shirley is a 42-year-old Liverpudlian bored housewife, who takes a holiday trip to Greece, meeting a local man who bolsters her self-confidence. She evolves and transforms to the point of finally being unrecognizable by her husband."
75,10 Things I Hate About You,"Comedy, Drama, Romance            ",Gil Junger,"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt', 'Larisa Oleynik']","A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
76,"Crazy, Stupid, Love.","Comedy, Drama, Romance            ",Glenn Ficarra,"['John Requa', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone']","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
77,The Legend of Tarzan,"Action, Adventure, Drama            ",David Yates,"['Alexander Skarsgård', 'Rory J. Saper', 'Christian Stevens', 'Christoph Waltz']","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
78,Pretty in Pink,"Comedy, Drama, Romance            ",Howard Deutch,"['Molly Ringwald', 'Jon Cryer', 'Harry Dean Stanton', 'Annie Potts']",A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.
79,Cinderella,"Drama, Family, Fantasy            ",Kenneth Branagh,"['Lily James', 'Cate Blanchett', 'Richard Madden', 'Helena Bonham Carter']","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
80,About Time,"Comedy, Drama, Fantasy            ",Richard Curtis,"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy', 'Lydia Wilson']","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
81,Jerry Maguire,"Comedy, Drama, Romance            ",Cameron Crowe,"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger', 'Kelly Preston']","When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
82,Frida,"Biography, Drama, Romance            ",Julie Taymor,"['Salma Hayek', 'Alfred Molina', 'Geoffrey Rush', 'Mía Maestro']","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work."
83,The Girl Next Door,"Comedy, Drama, Romance            ",Luke Greenfield,"['Emile Hirsch', 'Nicholas Downs', 'Elisha Cuthbert', 'Timothy Olyphant']",A teenager's dreams come true when a former porn star moves in next door and they fall in love.
84,Judy,"Biography, Drama, Romance            ",Rupert Goold,"['Renée Zellweger', 'Jessie Buckley', 'Finn Wittrock', 'Rufus Sewell']",Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.
85,Ah-ga-ssi,"Drama, Romance, Thriller            ",Chan-wook Park,"['Min-hee Kim', 'Jung-woo Ha', 'Jin-woong Cho', 'So-Ri Moon']","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
86,The Ballad of Buster Scruggs,"Comedy, Drama, Musical            ",Ethan Coen,"['Joel Coen', 'Tim Blake Nelson', 'Willie Watson', 'Clancy Brown', 'Danny McCarthy']","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
87,The Twilight Saga: Eclipse,"Adventure, Drama, Fantasy            ",David Slade,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Xavier Samuel']","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
88,The Karate Kid Part II,"Action, Family, Romance            ",John G. Avildsen,"['Pat Morita', 'Ralph Macchio', 'Pat E. Johnson', 'Bruce Malmuth']","Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own."
89,Five Feet Apart,"Drama, Romance            ",Justin Baldoni,"['Haley Lu Richardson', 'Cole Sprouse', 'Moises Arias', 'Kimberly Hebert Gregory']","A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact."
90,Waves,"Drama, Romance, Sport            ",Trey Edward Shults,"['Taylor Russell', 'Kelvin Harrison Jr.', 'Alexa Demie', 'Bill Wise']","Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss."
91,Romeo + Juliet,"Drama, Romance            ",Baz Luhrmann,"['Leonardo DiCaprio', 'Claire Danes', 'John Leguizamo', 'Harold Perrineau']",Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
92,La vie d'Adèle,"Drama, Romance            ",Abdellatif Kechiche,"['Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
93,Bridesmaids,"Comedy, Romance            ",Paul Feig,"['Kristen Wiig', 'Maya Rudolph', 'Rose Byrne', 'Terry Crews']","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
94,Legends of the Fall,"Drama, Romance, War            ",Edward Zwick,"['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn', 'Julia Ormond']","In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
95,Hercules,"Animation, Adventure, Comedy            ",Ron Clements,"['John Musker', 'Tate Donovan', 'Susan Egan', 'James Woods', 'Josh Keaton']",The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
96,Notting Hill,"Comedy, Drama, Romance            ",Roger Michell,"['Hugh Grant', 'Julia Roberts', 'Richard McCabe', 'Rhys Ifans']",The life of a simple bookshop owner changes when he meets the most famous film star in the world.
97,Tangled,"Animation, Adventure, Comedy            ",Nathan Greno,"['Byron Howard', 'Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman']","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
98,Revolutionary Road,"Drama, Romance            ",Sam Mendes,"['Leonardo DiCaprio', 'Kate Winslet', 'Christopher Fitzgerald', 'Jonathan Roumie']",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.
