,Title,Genre,Director,Actors,Plot
577,The Square,"Comedy, Drama            ",Ruben Östlund,"['Claes Bang', 'Elisabeth Moss', 'Dominic West', 'Terry Notary']",A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.
578,Mr. Right,"Action, Comedy, Romance            ",Paco Cabezas,"['Anna Kendrick', 'Sam Rockwell', 'Tim Roth', 'James Ransone']","A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him."
579,The Professor,"Comedy, Drama            ",Wayne Roberts,"['Johnny Depp', 'Rosemarie DeWitt', 'Odessa Young', 'Danny Huston']",A college professor lives his life with reckless abandon after being diagnosed with a terminal illness.
580,Beyond the Valley of the Dolls,"Comedy, Drama, Music            ",Russ Meyer,"['Dolly Read', 'Cynthia Myers', 'Marcia McBroom', 'John Lazar']","Three girls come to Hollywood to make it big, but find only sex, drugs and sleaze."
581,My Best Friend's Wedding,"Comedy, Drama, Romance            ",P.J. Hogan,"['Julia Roberts', 'Dermot Mulroney', 'Cameron Diaz', 'Rupert Everett']","When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding."
582,Bratz,"Comedy, Family, Music            ",Sean McNamara,"['Skyler Shaye', 'Janel Parrish', 'Logan Browning', 'Nathalia Ramos']","During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques."
583,The 'Burbs,"Comedy, Mystery, Thriller            ",Joe Dante,"['Tom Hanks', 'Bruce Dern', 'Carrie Fisher', 'Corey Feldman']",An overstressed suburbanite and his neighbors are convinced that the new family on the block are part of a murderous Satanic cult.
584,Last Action Hero,"Action, Adventure, Comedy            ",John McTiernan,"['Arnold Schwarzenegger', 'F. Murray Abraham', 'Art Carney', 'Charles Dance']","With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character."
585,Night at the Museum: Battle of the Smithsonian,"Adventure, Comedy, Family            ",Shawn Levy,"['Ben Stiller', 'Owen Wilson', 'Amy Adams', 'Hank Azaria']","Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake."
586,Mickey Blue Eyes,"Comedy, Crime, Romance            ",Kelly Makin,"['Hugh Grant', 'Jeanne Tripplehorn', 'James Caan', 'Burt Young']","An English auctioneer proposes to the daughter of a Mafia kingpin, only to realize that certain ""favors"" would be asked of him."
587,Click,"Comedy, Drama, Fantasy            ",Frank Coraci,"['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff']",A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.
588,Get Smart,"Action, Adventure, Comedy            ",Peter Segal,"['Steve Carell', 'Anne Hathaway', 'Alan Arkin', 'Dwayne Johnson']","Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS."
589,The Cat in the Hat,"Adventure, Comedy, Family            ",Bo Welch,"['Mike Myers', 'Spencer Breslin', 'Dakota Fanning', 'Alec Baldwin']",Two bored children have their lives turned upside down when a talking cat comes to visit them.
590,Bachelor Party,Comedy            ,Neal Israel,"['Tom Hanks', 'Tawny Kitaen', 'Adrian Zmed', 'George Grizzard']",A soon-to-be-married man's friends throw him the ultimate bachelor party.
591,Pleasantville,"Comedy, Drama, Fantasy            ",Gary Ross,"['Tobey Maguire', 'Jeff Daniels', 'Joan Allen', 'William H. Macy']","Two 1990s teenage siblings find themselves in a 1950s sitcom, where their influence begins to profoundly change that complacent world."
592,Cloudy with a Chance of Meatballs,"Animation, Adventure, Comedy            ",Phil Lord,"['Christopher Miller', 'Anna Faris', 'Bill Hader', 'Bruce Campbell', 'James Caan']","A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst."
593,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy            ",Dave Green,"['Megan Fox', 'Will Arnett', 'Tyler Perry', 'Laura Linney']","The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang."
594,Sahara,"Action, Adventure, Comedy            ",Breck Eisner,"['Matthew McConaughey', 'Penélope Cruz', 'Steve Zahn', 'Jude Akuwudike']","Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator."
