,Title,Genre,Director,Actors,Plot
79,The Good Liar,"Crime, Drama, Mystery            ",Bill Condon,"['Helen Mirren', 'Ian McKellen', 'Russell Tovey', 'Jim Carter']","Consummate con man Roy Courtnay has set his sights on his latest mark: the recently widowed Betty McLeish, worth millions. But this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes."
80,The Nun,"Horror, Mystery, Thriller            ",Corin Hardy,"['Demián Bichir', 'Taissa Farmiga', 'Jonas Bloquet', 'Bonnie Aarons']",A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.
81,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery            ",David Fincher,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård']","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
82,Scooby-Doo,"Adventure, Comedy, Family            ",Raja Gosnell,"['Matthew Lillard', 'Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Linda Cardellini']","After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on."
83,The Ballad of Buster Scruggs,"Comedy, Drama, Musical            ",Ethan Coen,"['Joel Coen', 'Tim Blake Nelson', 'Willie Watson', 'Clancy Brown', 'Danny McCarthy']","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
84,Irréversible,"Crime, Drama, Mystery            ",Gaspar Noé,"['Monica Bellucci', 'Vincent Cassel', 'Albert Dupontel', 'Jo Prestia']",Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass.
85,Swimming Pool,"Crime, Drama, Mystery            ",François Ozon,"['Charlotte Rampling', 'Charles Dance', 'Ludivine Sagnier', 'Jean-Marie Lamour']","A British mystery author visits her publisher's home in the South of France, where her interaction with his unusual daughter sets off some touchy dynamics."
86,National Treasure,"Action, Adventure, Mystery            ",Jon Turteltaub,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Sean Bean']",A historian races to find the legendary Templar Treasure before a team of mercenaries.
87,Scream,"Horror, Mystery            ",Wes Craven,"['Neve Campbell', 'Courteney Cox', 'David Arquette', 'Skeet Ulrich']","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game."
88,Now You See Me,"Crime, Mystery, Thriller            ",Louis Leterrier,"['Jesse Eisenberg', 'Common', 'Mark Ruffalo', 'Woody Harrelson']","An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
89,The Autopsy of Jane Doe,"Horror, Mystery, Thriller            ",André Øvredal,"['Brian Cox', 'Emile Hirsch', 'Ophelia Lovibond', 'Michael McElhatton']","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
90,Dora and the Lost City of Gold,"Adventure, Comedy, Family            ",James Bobin,"['Isabela Merced', 'Eugenio Derbez', 'Michael Peña', 'Eva Longoria']","Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold."
91,Basic Instinct,"Drama, Mystery, Thriller            ",Paul Verhoeven,"['Michael Douglas', 'Sharon Stone', 'George Dzundza', 'Jeanne Tripplehorn']",A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
92,Super 8,"Mystery, Sci-Fi, Thriller            ",J.J. Abrams,"['Elle Fanning', 'AJ Michalka', 'Kyle Chandler', 'Joel Courtney']","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
93,Sherlock Holmes,"Action, Adventure, Mystery            ",Guy Ritchie,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong']",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
94,The Invitation,"Drama, Mystery, Thriller            ",Karyn Kusama,"['Logan Marshall-Green', 'Emayatzy Corinealdi', 'Michiel Huisman', 'Tammy Blanchard']","A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions."
95,Divergent,"Action, Adventure, Mystery            ",Neil Burger,"['Shailene Woodley', 'Theo James', 'Kate Winslet', 'Jai Courtney']","In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
96,The Grudge,"Horror, Mystery            ",Nicolas Pesce,"['Tara Westwood', 'Junko Bailey', 'David Lawrence Brown', 'Zoe Fish']",A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.
